Country;Year;Series;Value
Argentina;2019;Sex ratio (males per 100 females);95.2141
Argentina;2019;Population aged 0 to 14 years old (percentage);24.5955
Argentina;2019;Population aged 60+ years old (percentage);15.3941
Argentina;2019;Population density;16.3631
Armenia;2005;Population mid-year estimates (millions);2.9813
Armenia;2005;Population mid-year estimates for males (millions);1.4019
Armenia;2005;Population mid-year estimates for females (millions);1.5794
Armenia;2005;Sex ratio (males per 100 females);88.7601
Armenia;2005;Population aged 0 to 14 years old (percentage);21.4615
Armenia;2005;Population aged 60+ years old (percentage);14.3771
Armenia;2005;Population density;104.7162
Armenia;2010;Population mid-year estimates (millions);2.8773
Armenia;2010;Population mid-year estimates for males (millions);1.3464
Armenia;2010;Population mid-year estimates for females (millions);1.5310
Armenia;2010;Sex ratio (males per 100 females);87.9414
Armenia;2010;Population aged 0 to 14 years old (percentage);19.4607
Armenia;2010;Population aged 60+ years old (percentage);14.7881
Armenia;2010;Population density;101.0649
Armenia;2017;Population mid-year estimates (millions);2.9448
Armenia;2017;Population mid-year estimates for males (millions);1.3854
Armenia;2017;Population mid-year estimates for females (millions);1.5594
Armenia;2017;Sex ratio (males per 100 females);88.8379
Armenia;2017;Population aged 0 to 14 years old (percentage);20.4544
Armenia;2017;Population aged 60+ years old (percentage);16.7716
Armenia;2017;Population density;103.4349
Armenia;2017;Surface area (thousand km2);29.7430
Armenia;2019;Population mid-year estimates (millions);2.9577
Armenia;2019;Population mid-year estimates for males (millions);1.3913
Armenia;2019;Population mid-year estimates for females (millions);1.5665
Armenia;2019;Sex ratio (males per 100 females);88.8162
Armenia;2019;Population aged 0 to 14 years old (percentage);20.7660
Armenia;2019;Population aged 60+ years old (percentage);17.9115
Armenia;2019;Population density;103.8894
Aruba;2005;Population mid-year estimates (millions);0.1000
Aruba;2005;Population mid-year estimates for males (millions);0.0476
Aruba;2005;Population mid-year estimates for females (millions);0.0525
Aruba;2005;Sex ratio (males per 100 females);90.6966
Aruba;2005;Population aged 0 to 14 years old (percentage);21.4733
Aruba;2005;Population aged 60+ years old (percentage);12.6141
Aruba;2005;Population density;555.7278
Aruba;2010;Population mid-year estimates (millions);0.1017
Aruba;2010;Population mid-year estimates for males (millions);0.0485
Aruba;2010;Population mid-year estimates for females (millions);0.0532
Aruba;2010;Sex ratio (males per 100 females);91.0996
Aruba;2010;Population aged 0 to 14 years old (percentage);20.8736
Aruba;2010;Population aged 60+ years old (percentage);15.4796
Aruba;2010;Population density;564.8278
Aruba;2017;Population mid-year estimates (millions);0.1054
Aruba;2017;Population mid-year estimates for males (millions);0.0500
Aruba;2017;Population mid-year estimates for females (millions);0.0553
Aruba;2017;Sex ratio (males per 100 females);90.4298
Aruba;2017;Population aged 0 to 14 years old (percentage);17.9802
Aruba;2017;Population aged 60+ years old (percentage);19.7009
Aruba;2017;Population density;585.3667
Aruba;2017;Surface area (thousand km2);0.1800
Aruba;2019;Population mid-year estimates (millions);0.1063
Aruba;2019;Population mid-year estimates for males (millions);0.0504
Aruba;2019;Population mid-year estimates for females (millions);0.0559
Aruba;2019;Sex ratio (males per 100 females);90.2912
Aruba;2019;Population aged 0 to 14 years old (percentage);17.6204
Aruba;2019;Population aged 60+ years old (percentage);21.0612
